AND;And;Andromeda;Andromedae;Andromeda;The Daughter of Cassiopeia
ANT;Ant;Antlia;Antliae;Luftpumpe;The Air Pump
APS;Aps;Apus;Apodis;Paradiesvogel;The Bird of Paradise
AQL;Aql;Aquila;Aquilae;Adler;The Eagle
AQR;Aqr;Aquarius;Aquarii;Wassermann;The Water-bearer
ARA;Ara;Ara;Arae;Altar;The Altar
ARI;Ari;Aries;Arietis;Widder;The Ram
AUR;Aur;Auriga;Aurigae;Fuhrmann;The Charioteer
BOO;Boo;Bootes;Bootis;Bärenhüter;The Herdsman
CAE;Cae;Caelum;Caeli;Grabstichel;The Chisel
CAM;Cam;Camelopardalis;Camelopardalis;Giraffe;The Giraffe
CAP;Cap;Capricornus;Capricorni;Steinbock;The Goat
CAR;Car;Carina;Carinae;Kiel des Schiffs;The Keel
CAS;Cas;Cassiopeia;Cassiopeiae;Kassiopeia;The Queen
CEN;Cen;Centaurus;Centauri;Zentaur;The Centaur
CEP;Cep;Cepheus;Cephei;Kepheus;The King
CET;Cet;Cetus;Ceti;Walfisch;The Whale
CHA;Cha;Chamaeleon;Chamaeleontis;Chamäleon;The Chameleon
CIR;Cir;Circinus;Circini;Zirkel;The Compasses
CMA;CMa;Canis Major;Canis Majoris;Großer Hund;The Big Dog
CMI;CMi;Canis Minor;Canis Minoris;Kleiner Hund;The Little Dog
CNC;Cnc;Cancer;Cancri;Krebs;The Crab
COL;Col;Columba;Columbae;Taube;The Dove
COM;Com;Coma Berenices;Comae Berenices;Haar der Berenike;Berenice's Hair
CRA;CrA;Corona Australis;Coronae Australis;Südliche Krone;The Southern Crown
CRB;CrB;Corona Borealis;Coronae Borealis;Nördliche Krone;The Northern Crown
CRT;Crt;Crater;Crateris;Becher;The Cup
CRU;Cru;Crux;Crucis;Kreuz des Südens;The Cross
CRV;Crv;Corvus;Corvi;Rabe;The Crow
CVN;CVn;Canes Venatici;Canum Venaticorum;Jagdhunde;The Hunting Dogs
CYG;Cyg;Cygnus;Cygni;Schwan;The Swan
DEL;Del;Delphinus;Delphini;Delfin;The Dolphin
DOR;Dor;Dorado;Doradus;Schwertfisch;The Swordfish
DRA;Dra;Draco;Draconis;Drache;The Dragon
EQU;Equ;Equuleus;Equulei;Füllen;The Little Horse
ERI;Eri;Eridanus;Eridani;Eridanus;The River
FOR;For;Fornax;Fornacis;Chemischer Ofen;The Furnace
GEM;Gem;Gemini;Geminorum;Zwillinge;The Twins
GRU;Gru;Grus;Gruis;Kranich;The Crane
HER;Her;Hercules;Herculis;Herkules;The Son of Zeus
HOR;Hor;Horologium;Horologii;Pendeluhr;The Clock
HYA;Hya;Hydra;Hydrae;Wasserschlange;The female Water Snake
HYI;Hyi;Hydrus;Hydri;Kleine Wasserschlange;The male Water Snake
IND;Ind;Indus;Indi;Inder;The Indian
LAC;Lac;Lacerta;Lacertae;Eidechse;The Lizard
LEO;Leo;Leo;Leonis;Löwe;The Lion
LEP;Lep;Lepus;Leporis;Hase;The Hare
LIB;Lib;Libra;Librae;Waage;The Balance
LMI;LMi;Leo Minor;Leonis Minoris;Kleiner Löwe;The Little Lion
LUP;Lup;Lupus;Lupi;Wolf;The Wolf
LYN;Lyn;Lynx;Lyncis;Luchs;The Lynx
LYR;Lyr;Lyra;Lyrae;Leier;The Lyre
MEN;Men;Mensa;Mensae;Tafelberg;The Table
MIC;Mic;Microscopium;Microscopii;Mikroskop;The Microscope
MON;Mon;Monoceros;Monocerotis;Einhorn;The Unicorn
MUS;Mus;Musca;Muscae;Fliege;The Fly
NOR;Nor;Norma;Normae;Winkelmaß;The Square
OCT;Oct;Octans;Octantis;Oktant;The Octant
OPH;Oph;Ophiuchus;Ophiuchi;Schlangenträger;The Serpent-holder
ORI;Ori;Orion;Orionis;Orion;The Hunter
PAV;Pav;Pavo;Pavonis;Pfau;The Peacock
PEG;Peg;Pegasus;Pegasi;Pegasus;The Winged Horse
PER;Per;Perseus;Persei;Perseus;The Rescuer of Andromeda
PHE;Phe;Phoenix;Phoenicis;Phoenix;The Phoenix
PIC;Pic;Pictor;Pictoris;Maler;The Painter
PSA;PsA;Piscis Austrinus;Piscis Austrini;Südlicher Fisch;The Southern Fish
PSC;Psc;Pisces;Piscium;Fische;The Fishes
PUP;Pup;Puppis;Puppis;Achterdeck des Schiffs;The Stern
PYX;Pyx;Pyxis;Pyxidis;Schiffskompass;The Compass
RET;Ret;Reticulum;Reticuli;Netz;The Reticle
SCL;Scl;Sculptor;Sculptoris;Bildhauer;The Sculptor
SCO;Sco;Scorpius;Scorpii;Skorpion;The Scorpion
SCT;Sct;Scutum;Scuti;Schild;The Shield
SER1;Ser;Serpens (Caput);Serpentis;Schlange (Kopf);The (Head of the) Serpent
SER2;Ser;Serpens (Cauda);Serpentis;Schlange (Schwanz);The (Tail of the) Serpent
SEX;Sex;Sextans;Sextantis;Sextant;The Sextant
SGE;Sge;Sagitta;Sagittae;Pfeil;The Arrow
SGR;Sgr;Sagittarius;Sagittarii;Schütze;The Archer
TAU;Tau;Taurus;Tauri;Stier;The Bull
TEL;Tel;Telescopium;Telescopii;Teleskop;The Telescope
TRA;TrA;Triangulum Australe;Trainguli Australis;Südliches Dreieck;The Southern Triangle
TRI;Tri;Triangulum;Trianguli;Dreieck;The Triangle
TUC;Tuc;Tucana;Tucanae;Tukan;The Toucan
UMA;UMa;Ursa Major;Ursae Majoris;Großer Bär;The Great Bear
UMI;UMi;Ursa Minor;Ursae Minoris;Kleiner Bär;The Little Bear
VEL;Vel;Vela;Velorum;Segel des Schiffs;The Sails
VIR;Vir;Virgo;Virginis;Jungfrau;The Maiden
VOL;Vol;Volans;Volantis;Fliegender Fisch;The Flying Fish
VUL;Vul;Vulpecula;Vulpeculae;Fuchs;The Fox
